,texto,sentiment,probabilities
10,"Juro do rotativo do cartão talvez seja o problema mais complexo que enfrentei, diz presidente do BC Roberto Campos Neto afirmou, porém, que não está pessimista sobre uma solução para o tema",1,"[[0.02009424939751625, 0.974297285079956, 0.0056083910167217255]]"
11,"Não aguento mais ser manchete política, diz Luiza Helena Trajano, do Magalu A empresária afirma que o segundo semestre em ano de eleição não costuma ser bom. Mas este ano vamos ter a Copa do Mundo",1,"[[0.27873194217681885, 0.7069788575172424, 0.014289239421486855]]"
12,"Não vamos voltar ao velho mundo de 1992, diz liderança da Alemanha, sobre financiamento do clima Nos últimos anos, ao ficar claro que a crise do clima é um desafio de trilhões de dólares, há pressão para abrir o leque de doadores, com mais países, setor privado e filantropia",1,"[[0.1399965137243271, 0.847072422504425, 0.012931101024150848]]"
13,"Reforma tributária precisa de menos exceções, diz Geraldo Alckmin Vice-presidente espera que Câmara exclua algumas exceções que foram incluídas no texto pelo Senado",1,"[[0.00042000171379186213, 0.9981873631477356, 0.0013926045503467321]]"
14,"É preciso comemorar a primeira reforma tributária num regime democrático, diz Lula Presidente comemora aprovação de projetos no Congresso e afirma que reforma tributária foi possível colocando em prática a arte da negociação ",1,"[[0.000933669856749475, 0.9379658102989197, 0.061100542545318604]]"
15,"2024 pode ser ano do luxo no Brasil Onda de inaugurações, ampliação da presença de grifes e serviços de padrão internacional posicionam país na dianteira das apostas do setor na América Latina",1,"[[0.0001791199465515092, 0.9901712536811829, 0.009649696759879589]]"
16,"2024 será ‘desafiador’ para Brasil, prevê Banco Mundial Enfraquecimento global e fatores internos dificultam cenário igual ao de 2023, afirma economista",1,"[[0.41438841819763184, 0.5793991684913635, 0.006212406326085329]]"
17,"2024 tem potencial para ser grande ano para a renda fixa, diz BTG Para executivos, expectativa de início de cortes de juros nos EUA e outras economias desenvolvidas não tira brilho da modalidade, que tem retorno ajustado ao risco superior ao da renda variável em ambiente de desaceleração econômica",2,"[[0.0012878150446340442, 0.04345313087105751, 0.9552590250968933]]"
18,5G e preço menor fazem a venda de celulares crescer Oferta de aparelhos compatíveis aumenta no varejo e preço médio cai 31% desde o início do ano,2,"[[0.0022857063449919224, 0.16946884989738464, 0.8282454013824463]]"
19,"7 grandes empresas se unem para acelerar a carreira de profissionais negros Gerdau, iFood, Itaú Unibanco, LinkedIn, Magalu, Nubank e Vale integram o movimento #CarreirasComFuturo",1,"[[0.00019471232371870428, 0.9717645645141602, 0.028040656819939613]]"
20,"A EIG, dos Estados Unidos, compra a Ocyan por R$ 1,8 bi Credor da Novanor (antiga Odebrecht), então controladora da Ocyan, BNDES receberá os recursos da transação",1,"[[0.00014675120473839343, 0.9992591738700867, 0.0005941049894317985]]"
21,A complexa busca da pluralidade Comunicação é fundamental no desenvolvimento de diretrizes para ampliar a participação de grupos sub-representados nos espaços de debates; english version below,1,"[[0.00012177371536381543, 0.9985054731369019, 0.001372810802422464]]"
22,"A mexicana que trocou sonho de ser chef pelo mundo dos carros e hoje lidera a BMW no Brasil Executiva mexicana Maru Escobedo tinha o sonho de ser cozinheira, entrou na BMW para cobrir a licença de uma amiga e hoje comanda as operações do grupo no Brasil",1,"[[0.00018437646212987602, 0.9987999200820923, 0.001015598769299686]]"
23,A nova ‘verdade inconveniente’ É praticamente impossível limitar o aquecimento planetário nos patamares propostos pelo Acordo de Paris,1,"[[0.0029099497478455305, 0.9941967725753784, 0.0028932911809533834]]"
24,"A onda do carro elétrico chinês se espalha Com qualidade e tecnologia, novas marcas superaram a desconfiança dos consumidores",1,"[[0.00236850930377841, 0.9310452938079834, 0.06658622622489929]]"
25,A prioridade é o professor O círculo vicioso da má formação e da desvalorização da carreira é a trava principal que impede a educação de avançar ,1,"[[0.3342096507549286, 0.6607757210731506, 0.005014624912291765]]"
26,"A reação do mercado após as duras críticas da Squadra ao e-commerce Para gestores, a publicação tem o mérito de escancarar abertamente alguns aspectos ao mercado, abrindo o leque de discussão num momento em que empresas puxaram o freio de arrumação",0,"[[0.7943169474601746, 0.19984829425811768, 0.005834825802594423]]"
27,A reforma tributária faz diferença? A implementação exitosa da reforma tributária ajudará a crescermos sem pressão inflacionária em 2024 e a modernizar a economia,2,"[[0.00039970281068235636, 0.005967903416603804, 0.9936323761940002]]"
28,"A trajetória da estilista alagoana que venceu preconceitos e conquistou celebridades como Ivete Sangalo e Sofia Vergara Aos 61 anos, Martha Medeiros lança biografia e diz viver sua ‘segunda encarnação’",1,"[[0.00078492023749277, 0.9565469622612, 0.042668212205171585]]"
29,"AMG G63 é carro de luxo de R$ 1,8 milhão que vai bem no 4X4 e acelera como um esportivo Modelo prova que é possível ter quase tudo o que se espera de um automóvel",1,"[[9.812851931201294e-05, 0.9992319345474243, 0.0006699740770272911]]"
30,ARTIGO: PIB reflete reequilíbrio de oferta e demanda ,1,"[[0.00030919024720788, 0.9724085927009583, 0.027282284572720528]]"
31,Abecs diz não ser contra nem a favor de nenhuma proposta de mercado para rotativo  Associação divulgou nota após comentário que pegou de surpresa participantes do mercado ,1,"[[0.07038845121860504, 0.9217920303344727, 0.007819537073373795]]"
32,"Abra, controladora das aéreas Gol e Avianca, tenta avançar em renegociação de dívida Reestruturação de R$ 20,2 bilhões é assessorada por Seabury Capital, Skyworks e Rothschild",1,"[[0.0010977179044857621, 0.9401837587356567, 0.05871855840086937]]"
33,Abrasca propõe medidas para acelerar investimento no país Empresas representam 85% do valor de mercado da B3,1,"[[0.0004173086490482092, 0.7211001515388489, 0.27848246693611145]]"
34,"Absolute adquire gestora Dhama Capital Transação traz carteira de R$ 450 milhões; em comum, assets têm BTG como minoritário",1,"[[0.0001453995646443218, 0.9995397329330444, 0.0003149436670355499]]"
35,"Abstenção de opinião de auditores ‘se deve à recuperação judicial da Americanas’, diz diretora Mas, segundo o próprio auditor, a decisão de não opinar não está relacionada exclusivamente ao fato de a empresa estar em recuperação judicial",1,"[[0.01851588860154152, 0.9765217304229736, 0.004962299019098282]]"
36,"Acordo Mercosul-UE e a descarbonização Os obstáculos ao acordo UE-Mercosul já não se limitam aos interesses da agricultura europeia; agora, a indústria também resiste",1,"[[0.00285018770955503, 0.9933817386627197, 0.003768147435039282]]"
37,Acordo com estatal trava e Sete Brasil pode ir à falência A empresa aguarda decisão do conselho de administração da Petrobras a respeito de uma proposta que começou a ser negociada em 2021,1,"[[0.04953588917851448, 0.9485808610916138, 0.0018832561327144504]]"
38,Acordo com os credores perto de desfecho As discussões entre a Americanas e os bancos credores podem ter uma solução em breve,1,"[[0.0004975293995812535, 0.9949753284454346, 0.00452710036188364]]"
39,"Adiamento do acordo entre Mercosul e União Europeia deveu-se à questão de compras governamentais, diz Lula ",1,"[[0.0004253004735801369, 0.9949893355369568, 0.004585279617458582]]"
40,"Aeroporto para disco voador, obrigação de cantar o hino nacional em fá maior: quais as leis mais ‘absurdas’ do Brasil De especialistas e executivos em diversos segmentos ao cidadão comum, não faltam experiências com os obstáculos impostos pela burocracia e suas leis",1,"[[0.005211274605244398, 0.9921843409538269, 0.002604371402412653]]"
41,"Afinal, de onde surgiu o nome da Amazon? Governador do Amazonas disse que quer fechar uma parceria com a maior varejista do mundo",1,"[[0.00022433497360907495, 0.999305248260498, 0.0004704402235802263]]"
42,"Afinal, o que a Magalu (MGLU3) errou no balanço? Entenda A empresa corrigiu erro no balanço que inflou seu lucro em R$ 830 milhões nos últimos anos",0,"[[0.9941840767860413, 0.005059880204498768, 0.0007559924270026386]]"
43,"Afinal, por que a Petrobras só aumentou o preço do diesel? Entenda A partir de sábado (21), preços do óleo diesel sobem 6,58%, enquanto gasolina tem redução de 4,1%",1,"[[0.007403929252177477, 0.9879572987556458, 0.0046387650072574615]]"
44,"Afinal, quando começa e até quando vai a Black Friday 2023?  Economista destaca que extensão da data tem a ver com pagamento de salários e movimentação do estoque varejista",1,"[[0.00016272741777356714, 0.9995046854019165, 0.00033257328323088586]]"
45,"Agenda STF: Ministros devem voltar a julgar cobrança do Difal do ICMS  As empresas entendem que só poderia ser feita a partir deste ano. Os Estados defendem 2022. A diferença de data tem impacto estimado em R$ 9,8 bilhões",1,"[[0.0003684336843434721, 0.998410701751709, 0.0012207726249471307]]"
46,Agenda da política: Senado sabatina Flávio Dino e Câmara discute reforma tributária Parlamentares também debatem os projetos da Lei de Diretrizes Orçamentárias (LDO) e da Lei Orçamentária Anual (LOA) de 2024,1,"[[0.0002327697875443846, 0.998619794845581, 0.00114745635073632]]"
47,Agenda de empresas: Alpargatas elege presidente da Mondelez Brasil como novo diretor-presidente Confira o que você precisa saber e acompanhar nesta quinta-feira,1,"[[0.00010344434849685058, 0.998969316482544, 0.0009272121824324131]]"
48,Agenda de empresas: Americanas adia resultados novamente ,1,"[[0.00042679946636781096, 0.9059720635414124, 0.09360118955373764]]"
49,Agenda de empresas: Americanas faz assembleia de credores para aprovar RJ  Confira o que você precisa saber e acompanhar nesta terça-feira,1,"[[9.799810504773632e-05, 0.9993038177490234, 0.000598172948230058]]"
50,Agenda de empresas: Antaq realiza leilão terminais portuários; ANP oferta blocos exploratórios Confira o que você precisa saber e acompanhar nesta quarta-feira,1,"[[9.69249740592204e-05, 0.999482274055481, 0.00042082378058694303]]"
51,Agenda de empresas: Copel reúne-se com investidores; Anbima divulga dados do mercado Confira o que você precisa saber e acompanhar nesta quarta-feira ,1,"[[0.00012642114597838372, 0.9996007084846497, 0.00027287000557407737]]"
52,"Agenda de empresas: Credores da Americanas aprovam plano de recuperação e divulgação de balanços  é adiada Empresa adiou a divulgação das informações trimestrais, com nova estimativa para até 31 de janeiro de 2024",2,"[[0.0006889125215820968, 0.48124757409095764, 0.518063485622406]]"
53,Agenda de empresas: Diretoria da Cemig diz que não participa de conversas para federalização ,1,"[[0.00017668034706730396, 0.9995587468147278, 0.0002645399945322424]]"
54,Agenda de empresas: Enauta compra campos da Petrobras por até US$ 35 milhões A Petrobras vendeu sua participação total nos campos de Uruguá e Tambaú,1,"[[0.00016367700300179422, 0.9991472959518433, 0.0006890063523314893]]"
55,Agenda de empresas: Justiça revoga liminar que impedia aumento de capital da Gafisa    Confira o que você precisa saber e acompanhar nesta segunda-feira,1,"[[0.0003837466356344521, 0.9857309460639954, 0.013885200023651123]]"
56,Agenda de empresas: Lucro da Vale cai no 4º trimestre; Americanas vai se reunir nesta sexta-feira com debenturistas Confira o que você precisa saber e acompanhar nesta sexta-feira,1,"[[0.0011934660142287612, 0.9982196688652039, 0.0005869187298230827]]"
57,Agenda de empresas: Magazine Luiza faz baixa de R$ 830 milhões; família fundadora cogita capitalização ,1,"[[0.000683475227560848, 0.9988918900489807, 0.00042467701132409275]]"
58,Agenda de empresas: Magazine Luiza faz recompra; CVM barra oferta da Alliar Confira o que você precisa saber e acompanhar nesta segunda-feira ,1,"[[0.00011290409020148218, 0.9995301961898804, 0.0003569092368707061]]"
59,Agenda de empresas: Magazine Luiza investiga irregularidades Confira o que você precisa saber e acompanhar nesta sexta-feira,1,"[[0.00014776033640373498, 0.9995821118354797, 0.0002700889890547842]]"
60,"Agenda de empresas: Minas leiloa rodoanel de BH; teleconferências da Via, Magazine Luiza e Americanas Confira o que você precisa saber e acompanhar nesta sexta-feira ",1,"[[0.00012404785957187414, 0.9995989203453064, 0.0002770127903204411]]"
61,"Agenda de empresas: Penúltima semana de balanços do 2º trimestre tem Itaú, Braskem e MRV Mais de uma centena de companhias divulgam seus números a partir desta segunda (8), com destaque para a construção e o varejo",1,"[[0.00016741041326895356, 0.9988395571708679, 0.000993026769720018]]"
62,Agenda de empresas: Petrobras  anuncia redução de preço da gasolina e aumento no diesel Confira o que você precisa saber e acompanhar nesta sexta-feira,1,"[[0.014572403393685818, 0.9820542335510254, 0.003373352810740471]]"
63,Agenda de empresas: Prejuízo da Embraer recua 87% no 2º trimestre Confira o que você precisa saber e acompanhar nesta segunda-feira,0,"[[0.980709433555603, 0.012375651858747005, 0.0069148950278759]]"
64,Agenda de empresas: Presidente da Eletrobras renuncia; Magazine Luiza tem prejuízo de R$ 302 milhões Confira o que você precisa saber e acompanhar nesta terça-feira,1,"[[0.1800713837146759, 0.8172817230224609, 0.002646938432008028]]"
65,"Agenda de empresas: Produção de minério de ferro da Vale cai 3,9% no 3º trimestre Confira o que você precisa saber e acompanhar nesta quarta-feira",1,"[[0.0531027689576149, 0.9454917311668396, 0.0014055368956178427]]"
66,Agenda de empresas: Sam Altman volta ao comando da OpenAI ,1,"[[0.000121774421131704, 0.999531626701355, 0.00034664972918108106]]"
67,"Agenda de empresas: Suzano compra terras em MS por R$ 1,83 bilhão  A Suzano fechou a compra de cerca de 70 mil hectares de terras em Mato Grosso do Sul, por R$ 1,83 bilhão",1,"[[0.00015827250899747014, 0.9992161989212036, 0.0006255105836316943]]"
68,Agenda de empresas: Série de teleconferências de resultados marca o dia Balanços recentes estão no foco dos investidores,1,"[[0.00014909915626049042, 0.999505877494812, 0.0003450730873737484]]"
69,Agenda de empresas: TST homologa acordo entre Eletrobras e sindicatos; Reag prepara oferta pela GetNinjas Confira o que você precisa saber e acompanhar nesta sexta-feira ,1,"[[0.00021262017253320664, 0.9692997336387634, 0.030487602576613426]]"
70,Agenda de empresas: Teleconferências de balanços recentes fecham a semana Confira o que você deve saber ou acompanhar nesta sexta-feira,1,"[[0.0001574493944644928, 0.9995540976524353, 0.00028849142836406827]]"
71,Agenda de empresas: Teleconferências encerram temporada de balanços; Petrobras anuncia nova estratégia comercial de preços Confira o que você precisa saber e acompanhar nesta terça-feira,1,"[[0.00014451683091465384, 0.9970924854278564, 0.0027629618998616934]]"
72,Agenda de empresas: Ultrapar lucra mais; Casas Bahia aumenta prejuízo ,1,"[[0.46875348687171936, 0.5042340755462646, 0.027012430131435394]]"
73,Agenda de empresas: Vale divulga candidatos a conselho; lucro da CSN cai; balanços da Via e Magazine Luiza Confira o que você precisa saber e acompanhar nesta quinta-feira,1,"[[0.00023230632359627634, 0.9992696642875671, 0.0004980259109288454]]"
74,Agenda de empresas: Vale divulga resultados de produção e vendas do 3º trimestre Confira o que você precisa saber e acompanhar nesta terça-feira,1,"[[0.00014289522368926555, 0.9995598196983337, 0.00029728346271440387]]"
75,"Agenda de empresas: WEG investirá R$ 1,2 bi em aumento de capacidade  Confira o que você precisa saber e acompanhar nesta quarta-feira ",2,"[[0.00023914362827781588, 0.0028560436330735683, 0.9969047904014587]]"
76,Agenda de empresas: Últimas divulgações de balanços; executivos da Light vão a Brasília  Confira o que você precisa saber e acompanhar nesta segunda-feira,1,"[[0.00015222413640003651, 0.9995622038841248, 0.000285536254523322]]"
77,"Agenda de mercados: Decisões de política monetária são protagonistas da semana Bancos centrais dos Estados Unidos, zona do euro, Reino Unido, Brasil e México divulgam suas decisões de política monetária",1,"[[0.00017464353004470468, 0.9993657469749451, 0.00045957599650137126]]"
78,Agenda de mercados: IPCA-15 movimenta semana pós-Natal ,1,"[[0.00014505475701298565, 0.9995830655097961, 0.0002719055919442326]]"
79,"Agenda de mercados: Inflação no Brasil e nos EUA são destaques, junto com BCE Banco Central divulga o Relatório Focus nesta segunda-feira e na quinta-feira IBGE traz o IPCA-15",1,"[[0.00018646025273483247, 0.999349057674408, 0.00046454346738755703]]"
80,"Agenda de mercados: PIB do Brasil e payroll dos EUA ficam no radar de agentes econômicos No Brasil, discussão atual é sobre o ritmo de cortes na taxa Selic; nos EUA, agentes tentam projetar quando o Fed começará a reduzir a taxa básica de juros ",1,"[[0.0012066473718732595, 0.9976977705955505, 0.0010956645710393786]]"
81,Agenda de mercados: Semana será marcada por ata da última reunião do Copom  Última leitura do PIB americano do terceiro trimestre também estará no foco do mercado,1,"[[0.00023138274264056236, 0.9991913437843323, 0.0005772780859842896]]"
82,"Agenda do BC: Decisão do Copom é destaque da semana Comunicado sobre a meta para a taxa básica de juros (Selic), que está hoje em 12,25% ao ano, será divulgado na quarta-feira (13) a partir de 18h30, logo após o término da reunião",1,"[[0.0005754877929575741, 0.9986293315887451, 0.0007952235173434019]]"
83,"Agenda do Dia: Focus é destaque após feriado do Natal Nos Estados Unidos, índices regionais de atividade industrial devem ser monitorados pelos agentes",1,"[[0.00013244595902506262, 0.9995811581611633, 0.000286311173113063]]"
84,Agenda do STF: Ministros julgam cassação de registro de fabricante de cigarros Na pauta desta semana há ainda Difal do ICMS e terceirização de atividade-fim,1,"[[0.003399936482310295, 0.9958255290985107, 0.0007745451293885708]]"
85,Agenda do dia: ADP divulga pesquisa de criação de empregos nos EUA Confira o que você precisa saber e acompanhar nesta quarta-feira,1,"[[0.0001620007969904691, 0.9994544386863708, 0.0003834957315120846]]"
86,Agenda do dia: Ata do Copom; FGV divulga Monitor do PIB  Confira o que você precisa saber e acompanhar nesta terça-feira,1,"[[0.00016837047587614506, 0.9995315074920654, 0.0003001485310960561]]"
87,Agenda do dia: BC publica Boletim Focus; Fazenda e OCDE divulgam relatório econômico Brasil 2023 Confira o que você precisa saber e acompanhar nesta segunda-feira,1,"[[0.0001539878867333755, 0.999546468257904, 0.0002995884860865772]]"
88,Agenda do dia: Banco Central divulga o Boletim Focus; Haddad participa de evento  Confira o que você precisa saber e acompanhar nesta segunda-feira,1,"[[0.00016353042155969888, 0.9995481371879578, 0.0002883106644731015]]"
89,Agenda do dia: Bancos centrais europeus divulgam decisões de juros; Haddad participa de evento do G20 Confira o que você precisa saber e acompanhar nesta quinta-feira,1,"[[0.00023092300398275256, 0.9991956353187561, 0.0005734538426622748]]"
90,Agenda do dia: Boletim Focus é destaque ,1,"[[0.00021692767040804029, 0.999516487121582, 0.00026658904971554875]]"
91,Agenda do dia: Comentários de autoridades do Fed são destaque; mercados estão fechados no Brasil ,1,"[[0.0035016562324017286, 0.9959012866020203, 0.0005970257916487753]]"
92,Agenda do dia: Dados de inflação nos EUA e no Brasil são destaques ,1,"[[0.00012808904284611344, 0.9995717406272888, 0.0003001325821969658]]"
93,Agenda do dia: Discurso de Jerome Powell é destaque ,1,"[[0.0063934787176549435, 0.9799861311912537, 0.01362027321010828]]"
94,Agenda do dia: Fed e Copom divulgam decisões de política monetária Confira o que você precisa saber e acompanhar nesta quarta-feira,1,"[[0.00020067028526682407, 0.9993593096733093, 0.00044007421820424497]]"
95,"Agenda do dia: IBC-Br e votação da MP 1185 no Senado são destaques A divulgação do o Índice de Atividade Econômica de outubro, pelo Banco Central, é o destaque do dia ",1,"[[0.00020546141604427248, 0.9993833303451538, 0.0004111789749003947]]"
96,Agenda do dia: IBGE divulga IPCA-15; FGV publica IGP-M; Ministério do Trabalho anuncia Caged Confira o que você precisa saber e acompanhar nesta quinta-feira,1,"[[0.0001735584082780406, 0.9995063543319702, 0.00032003968954086304]]"
97,Agenda do dia: IBGE divulga resultado do PIB do terceiro trimestre ,1,"[[0.0006171680288389325, 0.9987820982933044, 0.0006008279742673039]]"
98,Agenda do dia: IPCA de setembro; ata do Federal Reserve Confira o que você precisa saber e acompanhar nesta quarta-feira,1,"[[0.00019716886163223535, 0.9995101690292358, 0.00029268229263834655]]"
99,Agenda do dia: Inflação dos EUA é destaque desta terça-feira ,1,"[[0.0006839678972028196, 0.9989134073257446, 0.0004025624366477132]]"
100,Agenda do dia: Inflação nos EUA é destaque Hoje é divulgado o último indicador relevante para o Federal Reserve antes do natal,1,"[[0.00016791468078736216, 0.9994033575057983, 0.00042878047679550946]]"
101,Agenda do dia: Pedidos de seguro-desemprego nos EUA; FGV divulga Índice de Clima Econômico para a América Latina Confira o que você precisa saber e acompanhar nesta quinta-feira ,0,"[[0.8055570721626282, 0.19236789643764496, 0.0020750241819769144]]"
102,"Agenda do dia: RTI, Campos Neto e PIB dos EUA são destaque Agenda de indicadores e eventos reserva alguns destaques tanto no Brasil quanto no exterior",1,"[[0.00011276680015726015, 0.9994959831237793, 0.0003912441898137331]]"
103,Agenda regulatória da CVM para 2024 inclui incentivos a companhias de menor porte Regulador pretende abrir consultas públicas sobre ambientes experimentais conhecidos como “sandbox”,1,"[[0.0002725006197579205, 0.9567916989326477, 0.0429358035326004]]"
104,"Agosto tem maior número de tentativas de fraudes do ano, diz Serasa Experian  Mês teve uma tentativa de fraude registrada a cada 2,9 segundos",1,"[[0.14153996109962463, 0.8554375767707825, 0.003022430930286646]]"
105,"Ainda limitado no Brasil, investimento com foco ESG avança Cerca de R$ 10,5 bilhões estão alocados em 59 fundos sustentáveis e 30 fundos que integram em suas estratégias fatores ESG",1,"[[0.00010273187217535451, 0.9992979764938354, 0.0005993014783598483]]"
106,"Algar lança operadora virtual no interior de São Paulo O maior dos novos mercados é o de Ribeirão Preto, cidade com 698 mil habitantes",1,"[[0.00012185321975266561, 0.9989963173866272, 0.0008818637579679489]]"
107,Aliados pressionam Lula a trocar ministros Correligionários do presidente da República querem uma ampla reforma ministerial até o início de 2024. Ministério da Saúde e áreas responsáveis pela articulação política estão na mira das mudanças,1,"[[0.0020570342894643545, 0.9947182536125183, 0.0032247607596218586]]"
108,"Alibaba Group reverte prejuízo e reporta lucro de US$ 3,79 bilhões no trimestre A receita do grupo totalizou 224,80 bilhões de yuans (US$ 30,81 bilhões) no trimestre encerrado em setembro, valor que representa um aumento de 9% na comparação anual",2,"[[0.0004000152985099703, 0.0007844604551792145, 0.9988155364990234]]"
109,"Alta de alimentos perde o fôlego e ‘segura’ a inflação IPCA acelera para 0,28% em novembro, mas resultado fica abaixo das expectativas e sinaliza trajetória benigna dos preços",2,"[[0.3743695318698883, 0.22889932990074158, 0.3967311382293701]]"
110,"Alta do petróleo vira aposta da equipe econômica para melhorar arrecadação Disparada no preço do barril após ataque do Hamas a Israel não deve, porém, reverter tendência de perda de força nas receitas do governo",2,"[[0.001471316092647612, 0.08014358580112457, 0.9183851480484009]]"
111,Alívio em Treasuries dá alento a ativos locais Correção nos EUA deu fôlego ao real e a ações sensíveis a juros; Petrobras limitou Ibovespa,1,"[[0.08119570463895798, 0.9157263040542603, 0.0030779121443629265]]"
112,Alívio em juros levará tempo para chegar às companhias Queda recente em taxas de mercado ainda não beneficia condição financeira de empresas,1,"[[0.04356230050325394, 0.950694739818573, 0.005742985289543867]]"
113,"Alívio nos Treasuries ajuda ativos de risco e Ibovespa tem novo recorde Em Nova York, queda das taxas americanas de longo prazo dá fôlego às bolsas e S&P 500 encosta em máxima histórica; dólar destoa do exterior e sobe 0,22%",2,"[[0.0009625027305446565, 0.017643216997385025, 0.9813942909240723]]"
114,"Amadurecimento dos mercados privados no Brasil atrai empresas de investimento dos EUA Riscos em outros mercados, como a China, aumentam interesse por ativos brasileiros",1,"[[0.12507060170173645, 0.5792943239212036, 0.2956351637840271]]"
115,"Amazon Brasil abre logística própria a grandes varejistas e libera inscrição automática em SP No Rio e Paraná, as limitações continuam, com liberação apenas aos registrados no Simples Nacional, com receita bruta anual até R$ 4,8 milhões",1,"[[0.00021033668599557132, 0.9921750426292419, 0.007614629343152046]]"
116,"Amazon Prime Day desencadeia guerra de ofertas no e-commerce, com descontos de até 70% Em tempos de vacas magras, para fazer frente à gigante americana, Casas Bahia, Mercado Livre e Magazine Luiza são alguns dos sites que estão oferecendo abatimento em seus produtos",1,"[[0.34669581055641174, 0.6483981013298035, 0.004906181711703539]]"
117,"Amazon acelera plano e abre 11 centros de distribuição em 2 anos Menor do que as rivais no Brasil, companhia planeja seguir ampliando a estrutura de logística",2,"[[0.00042181884055025876, 0.010999474674463272, 0.9885786771774292]]"
118,"Amazon adquire participação minoritária na Total Express, do Grupo Abril A Total é focada na venda de serviços logísticos, especialmente no transporte ao comércio on-line",1,"[[0.00011803664528997615, 0.9994614720344543, 0.00042051856871694326]]"
119,Amazon compra fatia da Total Express Varejista entra como sócia no negócio de logística do Grupo Abril,1,"[[0.00016276078531518579, 0.9994874000549316, 0.00034978162148036063]]"
120,Amazon cortará vagas na unidade Alexa Varejista americana disse que vai focar esforços para inteligência artificial generativa como forma de alinhar melhor suas prioridades de negócios,1,"[[0.0014651251258328557, 0.9971510767936707, 0.0013839291641488671]]"
121,Amazon emite 14 mil cartões de crédito em 5 dias de lançamento Cartão é emitido pelo Bradesco em parceria com a Mastercard e oferece cashback de até 5% de volta nas compras feitas pelo site por clientes da categoria Prime,1,"[[0.0001239688863279298, 0.9995229244232178, 0.0003531275724526495]]"
122,"Amazônia tem 20% dos blocos de petróleo do Brasil Plataforma pioneira mostra empresas, fase exploratória e registra o local de interesse da indústria do petróleo nos nove países amazônicos",1,"[[0.00019077658362220973, 0.9992915391921997, 0.0005177528946660459]]"
123,Americanas adia divulgação de resultados trimestrais de 2023 A previsão inicial para o anúncio era 29 de dezembro,1,"[[0.0002044376451522112, 0.9994654059410095, 0.00033012297353707254]]"
124,Americanas adia novamente divulgação das demonstrações financeiras de 2021 e 2022 ,1,"[[0.00011021055252058432, 0.9990013241767883, 0.0008884855778887868]]"
125,"Americanas ataca perícia da Kroll em processo movido pelo Bradesco, diz jornal Procedimento foi solicitado no âmbito da ação de produção de provas que o banco move contra a varejista há quase oito meses",0,"[[0.9518125057220459, 0.04662332683801651, 0.0015642029466107488]]"
126,"Americanas busca atrair vendedor para seu marketplace na Black Friday É na venda de produtos de outros lojistas, o maior negócio da empresa e que teve desempenho no terceiro trimestre abaixo de seus principais rivais, que está parte da atenção do mercado no curto prazo",1,"[[0.0008352710283361375, 0.9917042255401611, 0.007460535503923893]]"
